mssv,dtb_toankhoa,dtb_tichluy,sotc_tichluy
0F3CCC56XPvAibaEXe+uS3hCcqF/swV1VTwrbD2d,7.83,7.83,153
3FC67985XPvAibaEXe+uS3hCcqF/s1BNErmZi3AP,8.42,8.42,152
8003DB77XPvAibaEXe+uS3hCcqF/szDKZkQ/twhY,7.51,7.51,141
DA77A23CXPvAibaEXe8TCemjJxtx9N+MBryz9bo1,8,8,145
4E119A8AXPvAibaEXe8TCemjJxtx9JuL9i5yQtQ7,6.76,7.12,133
145DBE3DXPvAibaEXe8TCemjJxtx9DXD6cVF+kBL,7.68,7.68,151
73EBC2A0XPvAibaEXe9A3Yjgh4iPfsTl7Hkve08O,7.7,7.7,148
CAD81BE8XPvAibaEXe9A3Yjgh4iPfvMtO3lWOIXX,6.38,6.51,151
306F1985XPvAibaEXe9A3Yjgh4iPfgyL6Ctm1KIv,7.36,7.36,152
7206D5F5XPvAibaEXe9A3Yjgh4iPfoR9IX7yh3fv,6.83,6.83,144
3377A01FXPvAibaEXe/eRksRS1wGeHjP086Rff2B,8.59,8.59,149
7F1EF887XPvAibaEXe/eRksRS1wGeAzcBQLCMUhk,4.34,7.11,26
445B1666XPvAibaEXe/eRksRS1wGeLe60/QESEnH,5.06,6.8,105
2ED165A9XPvAibaEXe/eRksRS1wGeJQzNqtERAKg,7.5,7.5,153
59F1708DXPvAibaEXe+dMotnUFI9LS1TYt9joenk,6.93,6.93,152
7E8BC1EFXPvAibaEXe+dMotnUFI9LWOyhS5uVeu+,5.36,6.64,73
77C0FB57XPvAibaEXe+dMotnUFI9LWNcqnzsK0+X,8.06,8.06,153
840BDCBDXPvAibaEXe8Pno0mP3gNIn1Vxz4XdTfg,4.19,7.93,17
4CC723E2XPvAibaEXe876wt31yGPP6r9sXqNueqs,5.1,6.18,86
3A751C91XPvAibaEXe876wt31yGPP4jtOTSRHqgW,6.8,6.96,140
49D52C5CXPvAibaEXe+XQbEHiLBIRWH5rU7IHL2f,6.31,6.4,153
FD80AB73XPvAibaEXe+XQbEHiLBIRamkrkJOEq58,6.68,6.68,141
FC9BFC2CXPvAibaEXe8VnqU11737Hty9eG6AiTWr,7.35,7.35,156
FE3AC989XPvAibaEXe8VnqU11737Hl6IFmKBfB+P,6.9,6.96,148
