id,mssv,ngaythi,url,loaixn,url_1,loaixn_2,listening,speaking,reading,writing,tongdiem,lydo,trangthai,ngayxl
384.0,65F484B6XPvAibaEXe/3wuT/psvviciTyE0+Jfq5,, 'https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/17521272/17521272_chungchi_TOEIC_LR_20181203095442.jpg', 'TOEIC_LR',340.0,,340.0,,330.0, '',1, '',1, '2019-01-10 15:46:21'
385.0,0AAA839BXPvAibaEXe/pnXUIwMJHJvaSCkrHWZjB,, 'https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/17520662/17520662_chungchi_TOEIC_LR_20181203144338.jpg', 'TOEIC_LR',375.0,,375.0,,260.0, '',1, '',1, '2019-01-10 15:45:46'
386.0,79D32D22XPvAibaEXe9sDqR+NysAHv+CTGpGTN9z, '2018-11-13', 'bangcap/14520411/14520411_bangcap_TOEIC_LR_20181203170109.jpg', 'TOEIC_LR',345.0,,345.0,,395.0, '',1, '',1, '2019-01-10 15:44:33'
389.0,7D01754AXPvAibaEXe9+dT4FRTt+Q1XrMd9iTCe8, '2018-11-17', 'bangcap/15520552/15520552_bangcap_IELTS_20181204143948.jpg', 'IELTS',,,,,, '',1, '',1, '2018-12-27 10:50:57'
390.0,EFD742CDXPvAibaEXe8k9aD0YXzUPiN76vauZRDr, '2010-10-13', 'bangcap/13521033/13521033_bangcap_TOEIC_LR_20181205104814.jpg', 'TOEIC_LR',275.0,,275.0,,265.0, '',1, '',1, '2019-01-10 15:43:12'
392.0,CDAE9C3BXPvAibaEXe9gPSUylTm3ESJ4xQeyyi3P, '2018-06-10', 'bangcap/18520087/18520087_bangcap_TOEIC_LR_20181209180001.jpg', 'TOEIC_LR',195.0,,195.0,,175.0, '',1, '',1, '2019-01-10 15:44:05'
394.0,5F76493FXPvAibaEXe/FWKstHRRDnWx4P/5QXlbG, '2018-11-18', 'bangcap/13520901/13520901_bangcap_TOEIC_LR_20181209180831.jpg', 'TOEIC_LR',230.0,,230.0,,235.0, '',1, '',1, '2019-01-10 15:43:34'
395.0,EFD742CDXPvAibaEXe8k9aD0YXzUPiN76vauZRDr, '2018-09-14', 'bangcap/13521033/13521033_bangcap_TOEIC_LR_20181210230030.jpg', 'TOEIC_LR',275.0,,275.0,,265.0, '',1, '',1, '2019-01-10 15:42:52'
396.0,49B81E8DXPvAibaEXe+3bWVxnzRRwLjpUzvComxK, '2018-10-06', 'bangcap/17521239/17521239_bangcap_TOEIC_LR_20181211194008.jpg', 'TOEIC_LR',385.0,,385.0,,395.0, '',1, '',1, '2019-01-10 15:50:46'
397.0,A64E415AXPvAibaEXe+xRE5267JUoPBmJrZU32CX, '2018-11-30', 'bangcap/14520430/14520430_bangcap_TOEIC_LR_20181212180025.jpg', 'TOEIC_LR',415.0,,415.0,,390.0, '',1, '',1, '2019-01-10 15:42:10'
400.0,E19EB4C6XPvAibaEXe/NRwqjPAC0MPJvB4sJXQSE, '2018-03-25', 'bangcap/14520323/14520323_bangcap_TOEIC_LR_20181212230607.jpg', 'TOEIC_LR',320.0,,320.0,,270.0, '',1, '',1, '2019-01-10 15:41:39'
