mssv,lopsh,drl_hk1,drl_hk2,drl_hk3,drl_hk4,drl_hk5,drl_hk6,drl_hk7,drl_hk8,drl_hk9,drl_hk10,drl_hk11,drl_hk12,drl_hk13,drl_hk14
04C9CC0EXPvAibaEXe/S5mChdnrLm80qIvJ4ryp4, KTMT2014,74.0,,,,,,,,,,,,,
04CA893BXPvAibaEXe/SouBySQ9Uj8rioKR0JeF/, KHMT2016,,,,,,,,,,,,,,
04CD33EBXPvAibaEXe++B0JyCbXA1LAC7v3DyD0t, KHCL2019,,,,,,,,,,,,,,
04CDB750XPvAibaEXe81fV8vPRwD6JYmHnM75CHO, KHMT2019,,,,,,,,,,,,,,
04D98A42XPvAibaEXe9whL/t4cdMZYa7qJs9tdR2, KHMT2014,67.0,,,,,,,,,,,,,
04DDFC34XPvAibaEXe8zLanLNVS12W6u8w3Iex7Z, HTCL2015,,,,,,,,,,,,,,
04F1D2FBXPvAibaEXe+nNcqpVbk9mW5m1LZhoulC, KHDL2018,,,,,,,,,,,,,,
04F87408XPvAibaEXe80b1fr0fH/JuobsigdDkbt, KTMT2015,,,,,,,,,,,,,,
04F89839XPvAibaEXe8ge2UHv4J4B7N8hGEpTcLN, ,,80.0,92.0,,,,,,,,,,,
0503FE6BXPvAibaEXe/el9TRAKM7gRqt8tonkLHU, MMTT2019,,,,,,,,,,,,,,
05092C76XPvAibaEXe//3t8+us0X0mVxYbHKgEu4, ,,100.0,90.0,,,,,,,,,,,
050C0B15XPvAibaEXe+RaLErOlzghf6IG53IfKu6, KHTN2015,,,,,,,,,,,,,,
050F140DXPvAibaEXe8/V1eK05z04yfYqNp+lM9T, MMTT2015,,,,,,,,,,,,,,
052DD070XPvAibaEXe915NmCViXOMIckuNlCM3i6, MMTT2017,,,,,,,,,,,,,,
0530224EXPvAibaEXe8Dld2HmzmH+kCtWglGcaLd, KHCL2017,,,,,,,,,,,,,,
055BAF5DXPvAibaEXe/0VyaRB0LQpI2nprMmUPej, KHCL2018,,,,,,,,,,,,,,
055BC8B6XPvAibaEXe8ooYk4mkUGmEtvnAf/k5xO, ,,55.0,71.0,,,,,,,,,,,
05654038XPvAibaEXe9JdUmjPcaT8qIMCNLlkTTg, ,,97.0,100.0,,,,,,,,,,,
0571BDDAXPvAibaEXe8zN2KKhdLFutRJ2ofD5gnd, MTCL2018,,,,,,,,,,,,,,
0572F12EXPvAibaEXe80CrbkBDr5tWwm+CyP6i8i, PMCL2018,,,,,,,,,,,,,,
05790986XPvAibaEXe/HUuIVo8uCR806VMpIwFaa, KHCL2017,,,,,,,,,,,,,,
058F3258XPvAibaEXe+q0E3QguGBpZhJA/lqgre3, MTCL2018,,,,,,,,,,,,,,
0597247FXPvAibaEXe+NyYotv4FWdZdBHNs2i/Tz, PMCL2018,,,,,,,,,,,,,,
05B6E41FXPvAibaEXe8LHfATqQ4bHrv3q9RncGj8, KHMT2014,72.0,,,,,,,,,,,,,
05BE3C4FXPvAibaEXe9j81k8MH0oJwyKQAP8FKms, ANTN2014,85.0,90.0,,,,,,,,,,,,
05C14B33XPvAibaEXe8iOnzuCL8V+Iz8A3Kq02hS, MMTT2019,,,,,,,,,,,,,,
05CB7A7AXPvAibaEXe8/V1eK05z043Igv9Is0i3h, CTTT2015,,,,,,,,,,,,,,
05E17E2BXPvAibaEXe/RTfMBxsNERftZF2fTACpt, KHCL2019,,,,,,,,,,,,,,
05E7D19EXPvAibaEXe8dEe4TA8wgH/vIXJ8D2J3d, HTTT2014,85.0,,,,,,,,,,,,,
05EE77E5XPvAibaEXe+fBpTg8OXousIA2IYzVnHo, KHTN2017,,,,,,,,,,,,,,
05FB97EDXPvAibaEXe+1n9LzrMgTlwuXodOCiGW6, ATTT2018,,,,,,,,,,,,,,
