mssv,lopsh,drl_hk1,drl_hk2,drl_hk3,drl_hk4,drl_hk5,drl_hk6,drl_hk7,drl_hk8,drl_hk9,drl_hk10,drl_hk11,drl_hk12,drl_hk13,drl_hk14
030EC5D4XPvAibaEXe+6333OdPqlxr0zrQoKeC6U,KTPM2020,100,100,100,100,91,,,,,,,,,
030FC1CFXPvAibaEXe+9lRniSKKSh3iBkTOiNqQs,CTTT2014,86,68,31,64,62,57,76,75,68,75,50,50,53,50
03102AA8XPvAibaEXe8JyzRlwVelI4su+QPmcQhh,KTMT2021,91,75,66,,,,,,,,,,,
0318F06CXPvAibaEXe+bs0QruU9p+gh3raidhDZk,,55,43,23,36,47,41,2,5,44,60,70,,,
031A135FXPvAibaEXe+bzhoLNxTK0xOsiDh253Ur,KHCL2021,93,88,89,,,,,,,,,,,
031B760AXPvAibaEXe9KztDs5zkBQtJkYA6Ehute,HTCL2020,93,95,94,86,86,,,,,,,,,
032009DBXPvAibaEXe8hLNatuVCg+bidSLDlKFer,HTTT2014,80,55,69,58,55,55,76,70,68,79,50,61,58,
03266385XPvAibaEXe/lSUoyv6mJfDFTmyu2MlmG,CNPM04,85,85,81,81,100,100,100,100,,,,,,
03285E78XPvAibaEXe+trmCqFzXmqPMV3FkB9eXe,ATTT2022,91,,,,,,,,,,,,,
0330BA3CXPvAibaEXe8Z5hiNBvM0RW96I9r3cKzN,TMĐT2019,90,100,100,100,100,96,99,,,,,,,
0332F8F8XPvAibaEXe8LPxrujEz9HidW6z+mlSuX,MMTT2022,90,,,,,,,,,,,,,
0336A8FDXPvAibaEXe97q47CdxnNZKAUu5+2jDyf,KHMT2014,85,83,81,60,76,65,85,83,65,70,50,61,,
0339FEA3XPvAibaEXe/67dyjFFUOJsO0SSal/unw,PMCL2017,85,100,90,79,91,87,77,74,74,66,58,,,
033C5F00XPvAibaEXe/k1FtQjAVbeqWlCvlUgwhY,MMT04,85,85,81,81,72,72,85,75,,,,,,
033F886DXPvAibaEXe9KJs87LGFuVLck0jV/I2O/,KTMT2021,100,100,100,,,,,,,,,,,
0343C819XPvAibaEXe/xGSYcIp0f7PNCSNmme2n5,KHDL2020,87,100,100,100,95,,,,,,,,,
0343D382XPvAibaEXe+TzeJm3OhZihVluyApcrLD,KTPM2022,100,,,,,,,,,,,,,
034628B2XPvAibaEXe+1q4RcodP1hCvlWReLjjvi,,60,44,61,76,69,62,73,56,25,50,44,,,
